age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
20,نێر,2,سەڵت,سلێمانی,computer science ,نەخێر,نەخێر,بەڵێ
19,نێر,2,سەڵت,سلێمانی,Computer Science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,science ,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Computer science ,بەڵێ,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانست ,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Zanst,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,Paimanga,نەخێر,نەخێر,نەخێر
20,نێر,1,سەڵت,دەرەوەی شار,زمان,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,University of human development/ IT department ,نەخێر,نەخێر,نەخێر
19,نێر,1,سەڵت,سلێمانی,Engineering ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,computer science ,بەڵێ,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,CS,نەخێر,نەخێر,بەڵێ
20,نێر,2,سەڵت,سلێمانی,Science ,نەخێر,نەخێر,بەڵێ
21+,نێر,4,سەڵت,سلێمانی,College Fine art slemani,نەخێر,نەخێر,بەڵێ
20,نێر,1,سەڵت,سلێمانی,هونەرە جوانەکان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,Science,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
19,مێ,1,سەڵت,سلێمانی,English department,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Kargery w abwry,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Slemani tachniqal ,نەخێر,نەخێر,بەڵێ
21,مێ,2,سەڵت,سلێمانی,زانستە کرداری و تەندروستیەکان,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,college of fine arts,بەڵێ,نەخێر,نەخێر
21,نێر,2,سەڵت,سلێمانی,Spu,نەخێر,نەخێر,بەڵێ
20,مێ,1,سەڵت,سلێمانی,زانست/فیزیا,بەڵێ,نەخێر,نەخێر
19,نێر,2,سەڵت,سلێمانی,Computer science ,نەخێر,نەخێر,بەڵێ
21+,مێ,2,سەڵت,سلێمانی,Science,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,زانستی کۆمپیتەر,بەڵێ,نەخێر,بەڵێ
18,مێ,1,سەڵت,سلێمانی,,بەڵێ,بەڵێ,نەخێر
20,مێ,2,سەڵت,سلێمانی,Hunara juanakan,بەڵێ,نەخێر,نەخێر
19,مێ,2,سەڵت,سلێمانی,ئەندازیاری ,بەڵێ,نەخێر,بەڵێ
18,مێ,,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,2,سەڵت,سلێمانی,Uhd,نەخێر,نەخێر,بەڵێ
21,نێر,2,سەڵت,سلێمانی,Computer department ,نەخێر,نەخێر,بەڵێ
21,نێر,2,خێزاندار,سلێمانی,کۆمپیوتەر,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,تەکنیکی کارگێڕی,بەڵێ,نەخێر,بەڵێ
21,نێر,3,سەڵت,سلێمانی,College of languages/ English Department ,بەڵێ,نەخێر,نەخێر
